CreditScore,Income,LoanAmount,YearsEmployed,Approved
506.0,27200,30358.0,5.3,0
364.0,137476,13267.0,16.6,1
650.0,93497,92745.0,7.6,1
414.0,71975,99588.0,7.6,0
694.0,46357,48513.0,1.6,0
676.0,102505,167164.0,11.4,1
358.0,27869,21338.0,11.2,0
693.0,86135,141484.0,7.8,1
478.0,75108,17543.0,18.0,1
485.0,137296,115891.0,3.4,0
412.0,119179,174568.0,7.3,0
488.0,115272,70692.0,7.1,0
430.0,63467,54425.0,2.8,0
741.0,48328,48756.0,10.1,1
512.0,116412,28888.0,14.1,1
768.0,111831,176807.0,10.7,1
638.0,28987,57295.0,4.0,1
728.0,83871,124352.0,8.2,1
610.0,47399,93042.0,1.0,1
580.0,71214,95999.0,17.5,0
390.0,124522,27955.0,2.6,0
377.0,111416,47841.0,12.3,1
484.0,95271,80640.0,19.7,0
550.0,69064,175983.0,11.2,0
677.0,95091,148429.0,18.6,1
617.0,132450,173551.0,5.5,0
767.0,65818,71476.0,15.4,1
382.0,70525,54811.0,11.1,0
397.0,44830,177280.0,14.7,0
756.0,42429,161222.0,2.2,1
411.0,31893,81180.0,3.8,0
565.0,104909,122856.0,3.5,0
642.0,72333,78450.0,14.1,1
448.0,28436,162424.0,17.0,0
521.0,99290,121888.0,15.2,0
709.0,101213,120448.0,1.6,0
563.0,30895,24397.0,17.5,0
384.0,44738,141800.0,7.7,0
798.0,55746,129180.0,8.5,1
576.0,74377,76234.0,3.0,0
450.0,73404,49954.0,15.0,0
780.0,79045,89459.0,4.5,1
811.0,122888,157851.0,11.7,1
480.0,64790,165538.0,17.0,0
606.0,132455,178011.0,2.7,0
354.0,30600,176342.0,11.2,0
567.0,119660,69163.0,5.4,0
604.0,118179,61934.0,7.5,1
747.0,65764,173379.0,10.0,1
708.0,99543,64098.0,7.7,0
632.0,70714,15486.0,13.3,1
742.0,81835,149407.0,10.1,1
556.0,127946,96900.0,12.1,0
364.0,134616,136020.0,15.0,0
695.0,130983,112795.0,11.6,1
391.0,98744,152202.0,12.1,0
729.0,81491,97508.0,11.7,1
810.0,43589,128324.0,8.2,1
528.0,68484,70566.0,7.4,0
412.0,107989,37192.0,18.1,1
701.0,61212,11062.0,12.5,1
580.0,68525,94076.0,5.6,0
590.0,72202,99780.0,10.5,1
401.0,57635,162617.0,7.3,0
445.0,88208,31689.0,18.7,1
737.0,58828,21174.0,1.1,1
571.0,43711,98461.0,5.3,0
756.0,28420,136174.0,7.9,1
580.0,121752,113033.0,10.3,0
586.0,25301,19348.0,17.2,0
492.0,70236,164786.0,2.7,0
520.0,91235,48102.0,16.3,0
378.0,79240,84460.0,2.1,0
385.0,90726,112634.0,17.0,0
362.0,35492,99930.0,2.0,0
509.0,126279,16801.0,1.3,0
676.0,31102,113150.0,14.2,1
536.0,75336,164697.0,19.9,0
592.0,110314,11542.0,18.0,1
435.0,51641,31677.0,11.9,0
633.0,59584,49081.0,18.4,1
415.0,57745,103105.0,1.1,0
519.0,48093,29065.0,19.5,0
394.0,91105,98092.0,10.3,0
411.0,128746,64693.0,14.7,1
790.0,125199,36962.0,16.6,1
483.0,76885,38295.0,14.7,1
633.0,61631,23807.0,11.2,1
377.0,136217,167504.0,10.1,0
457.0,97991,178152.0,16.9,0
393.0,29014,142396.0,4.9,0
689.0,36093,101267.0,19.4,1
635.0,43070,176981.0,14.5,0
795.0,60777,29870.0,4.8,1
680.0,81958,175650.0,15.0,1
477.0,107074,36790.0,11.1,1
697.0,35729,128874.0,14.4,0
580.0,124713,35289.0,15.6,1
539.0,70017,25485.0,2.7,1
574.0,91320,54482.0,10.6,0
734.0,52751,96188.0,18.7,1
726.0,131400,14748.0,7.1,1
632.0,130864,150507.0,12.3,1
795.0,103069,13709.0,8.0,1
470.0,130647,133961.0,9.6,0
465.0,130510,40355.0,11.4,1
810.0,79748,154188.0,11.4,1
582.0,30801,166542.0,4.8,0
608.0,44190,52918.0,14.0,0
708.0,74689,62224.0,2.7,1
547.0,129290,49298.0,3.6,1
805.0,75993,90219.0,1.1,0
760.0,54592,71629.0,3.2,0
486.0,35647,76040.0,10.0,0
667.0,33716,38016.0,12.5,0
514.0,113891,33960.0,16.1,1
574.0,112545,43591.0,3.0,1
656.0,114912,113333.0,17.2,1
583.0,135627,124821.0,15.2,0
521.0,95316,46395.0,8.8,1
501.0,27368,139695.0,18.7,0
812.0,102575,163772.0,19.8,1
664.0,31655,44620.0,4.9,1
723.0,131477,138148.0,8.2,1
509.0,95031,30559.0,18.6,1
445.0,101429,103396.0,14.7,0
582.0,116083,31732.0,1.9,0
529.0,112922,101362.0,15.8,0
462.0,80766,171426.0,16.7,0
667.0,38403,23843.0,15.3,1
791.0,57097,124065.0,16.2,1
