GPA,SAT,Extracurricular_Hours,Attendance_Pct,Admitted
3.34,1136.0,5.5,90.1,1
3.29,1230.0,6.3,93.9,1
3.34,1300.0,6.2,92.8,1
3.52,1324.0,3.7,96.2,1
2.84,1043.0,1.7,80.1,0
3.07,1044.0,5.1,98.4,1
3.04,1046.0,4.2,89.0,0
2.84,1147.0,1.9,76.4,0
2.6,1167.0,0.0,78.4,0
3.78,1337.0,7.4,98.2,1
,,3.7,88.3,1
3.0,1247.0,6.5,,1
2.97,1161.0,1.3,88.1,0
3.45,943.0,2.5,,0
3.63,1165.0,,91.8,1
2.5,969.0,,,0
3.15,1366.0,6.0,92.8,1
3.27,1208.0,4.3,98.3,1
3.09,1083.0,1.4,81.2,0
2.39,1084.0,3.7,86.7,0
3.63,1022.0,3.0,83.0,0
3.31,1257.0,6.7,97.9,1
2.77,941.0,4.0,89.0,0
3.76,1150.0,5.4,100.0,1
3.03,1145.0,0.6,86.7,0
2.51,1214.0,2.8,78.4,0
3.16,896.0,2.5,84.0,0
3.84,1201.0,4.2,88.5,1
3.14,1025.0,2.2,66.9,0
2.93,1246.0,2.8,87.1,0
3.63,1249.0,1.3,93.4,1
3.46,1061.0,4.8,83.5,0
2.2,1041.0,3.4,81.2,0
3.45,1302.0,8.8,,1
3.4,1291.0,6.5,90.4,1
2.73,992.0,2.4,70.6,0
3.56,1175.0,2.7,94.0,1
2.15,996.0,0.2,81.3,0
,1086.0,3.0,69.8,0
2.79,954.0,1.0,85.4,0
,1261.0,1.4,85.1,1
3.5,1155.0,4.1,,1
2.06,917.0,2.1,90.5,0
4.0,1349.0,1.7,96.5,1
3.57,1163.0,3.8,,1
3.61,1091.0,3.0,100.0,1
3.79,874.0,4.4,81.5,0
2.72,889.0,3.1,74.3,0
3.71,1413.0,8.2,92.8,1
3.43,1282.0,9.9,,1
3.04,,7.0,92.6,1
3.04,1138.0,4.0,82.2,0
3.53,1276.0,2.0,90.9,1
3.97,1221.0,4.2,85.6,1
3.59,1093.0,3.0,100.0,1
,1240.0,5.2,94.4,1
2.36,846.0,0.8,95.0,0
2.89,1121.0,3.2,64.4,0
2.88,1276.0,3.8,93.1,1
2.84,990.0,4.2,78.9,0
3.01,1231.0,6.5,100.0,1
3.58,973.0,1.7,95.0,0
3.56,1194.0,2.5,95.4,1
4.0,1312.0,6.1,98.3,1
2.61,1200.0,0.7,85.5,0
2.17,1185.0,,83.2,0
3.0,1220.0,6.1,97.9,1
2.22,1062.0,2.8,87.2,0
3.39,1174.0,5.7,94.9,1
2.44,1030.0,1.4,87.1,0
3.79,,0.6,100.0,1
2.33,974.0,1.0,87.5,0
3.6,1089.0,4.5,94.4,1
3.25,1242.0,6.0,87.4,1
3.79,1411.0,3.7,95.8,1
2.41,1112.0,2.6,82.4,0
2.08,966.0,0.0,95.0,0
3.62,1269.0,5.8,99.3,1
3.44,1218.0,5.8,100.0,1
3.83,1230.0,4.2,91.5,1
2.99,1240.0,4.0,95.5,1
3.57,1206.0,3.3,,1
2.82,1173.0,3.5,75.5,0
3.01,1003.0,2.1,87.2,0
,1139.0,4.2,88.4,1
3.39,,7.9,86.6,1
3.61,1145.0,5.2,97.7,1
4.0,,1.7,86.3,1
2.27,1023.0,1.7,70.4,0
3.26,1287.0,7.3,93.5,1
2.86,911.0,0.4,86.6,0
3.32,1065.0,0.0,95.0,0
2.67,1025.0,2.0,83.1,0
3.42,1200.0,5.8,90.3,1
3.86,1218.0,5.7,90.8,1
2.21,878.0,0.0,80.7,0
3.18,1264.0,5.9,89.0,1
2.98,1252.0,0.1,,1
3.31,1131.0,3.5,96.1,1
2.79,960.0,2.0,88.6,0
2.32,970.0,3.4,90.9,0
3.82,1145.0,4.1,,1
3.34,1214.0,4.9,,1
1.95,819.0,0.0,76.6,0
2.83,1127.0,3.2,92.5,1
3.64,,,,1
2.67,911.0,1.9,87.7,0
3.56,974.0,4.0,82.0,0
2.96,1071.0,3.1,87.7,0
3.73,1410.0,2.2,88.1,1
2.05,1186.0,3.6,76.8,0
2.79,1054.0,0.8,92.2,0
3.42,1090.0,6.1,90.2,1
3.39,,4.1,90.6,1
2.65,1197.0,0.6,65.7,0
2.73,990.0,4.8,77.8,0
2.91,946.0,,85.7,0
2.73,1107.0,2.5,78.4,0
2.57,1103.0,1.4,79.8,0
4.0,1334.0,3.8,95.5,1
2.3,1137.0,1.0,77.9,0
2.83,1266.0,6.3,94.0,1
2.27,1081.0,3.0,62.6,0
3.32,1159.0,9.5,89.2,1
3.44,,9.2,90.8,1
3.84,1241.0,4.0,96.4,1
3.28,1118.0,5.1,85.0,0
4.0,1273.0,8.4,100.0,1
3.77,1156.0,3.3,93.9,1
,1100.0,0.4,93.6,0
,1256.0,2.7,100.0,1
3.76,1201.0,6.7,95.1,1
2.96,1101.0,2.3,,0
2.97,898.0,0.5,88.7,0
3.38,1297.0,6.7,89.8,1
3.49,1146.0,5.7,100.0,1
3.42,1176.0,4.0,100.0,1
3.34,1259.0,,88.7,1
2.89,997.0,1.9,90.4,0
3.99,1350.0,8.8,86.1,1
2.77,919.0,3.4,95.0,0
3.33,1200.0,5.6,92.1,1
3.13,951.0,1.4,72.0,0
3.22,1205.0,7.7,98.9,1
3.62,1293.0,5.7,93.1,1
,1225.0,0.0,73.8,0
3.9,1228.0,,96.3,1
